exchange:binance, pre_coin:ZEC, post_coin:BTC, p&l:0 BTC
exchange:huobi, pre_coin:SC, post_coin:BTC, p&l:0 BTC
exchange:ftxfuturepp, pre_coin:LUNA, post_coin:USD, p&l:-0.001975564722275891 USD
exchange:huobi, pre_coin:JST, post_coin:USDT, p&l:0.008029398484902028 USDT
exchange:husdtcpp, pre_coin:COMP, post_coin:USDT, p&l:0.004877473293442458 USDT
exchange:huobifutureqt, pre_coin:BCH, post_coin:USD, p&l:0.0004318999269499191 USD
exchange:binancefuturepp, pre_coin:STMX, post_coin:USDT, p&l:0.009162829875352996 USDT
exchange:ftxfuturepp, pre_coin:YFI, post_coin:USD, p&l:-0.005050084067392047 USD
exchange:ftxfuturepp, pre_coin:IOTA, post_coin:USD, p&l:0.00211242621077834 USD
exchange:okex, pre_coin:ZEN, post_coin:BTC, p&l:0.014154433703305935 BTC
exchange:husdtpp, pre_coin:ZEN, post_coin:USDT, p&l:0.01848164930535856 USDT
exchange:huobi, pre_coin:DASH, post_coin:BTC, p&l:0 BTC
exchange:husdtpp, pre_coin:AVAX, post_coin:USDT, p&l:0.011291929594848593 USDT
exchange:okex, pre_coin:COMP, post_coin:USDT, p&l:-0.0038804019279469193 USDT
exchange:huobi, pre_coin:SKL, post_coin:USDT, p&l:0.010856495369756525 USDT
exchange:husdtpp, pre_coin:SUSHI, post_coin:USDT, p&l:0.004126596515404035 USDT
exchange:huobi, pre_coin:COMP, post_coin:BTC, p&l:0 BTC
exchange:husdtpp, pre_coin:LAT, post_coin:USDT, p&l:-0.07002386207068223 USDT
exchange:binance, pre_coin:FTM, post_coin:USDT, p&l:-0.02079128179213241 USDT
exchange:husdtcpp, pre_coin:BAGS, post_coin:USDT, p&l:0.01413467066376084 USDT
exchange:binancefuturepp, pre_coin:OGN, post_coin:USDT, p&l:0.008515594490423384 USDT
exchange:okexfuturepp, pre_coin:BTC, post_coin:USD, p&l:-0.00022434167843965458 USD
exchange:binancefuturepp, pre_coin:DODO, post_coin:USDT, p&l:0.013137970619630623 USDT
exchange:binance, pre_coin:CHZ, post_coin:USDT, p&l:0.10811766972008963 USDT
exchange:okex, pre_coin:UMA, post_coin:USDT, p&l:0 USDT
exchange:binance, pre_coin:ANT, post_coin:BUSD, p&l:0.0012573624131746453 BUSD
exchange:ftx, pre_coin:ETH, post_coin:BTC, p&l:0 BTC
exchange:okex, pre_coin:BTT, post_coin:USDT, p&l:-0.012144854054336296 USDT
exchange:ftx, pre_coin:LINK, post_coin:BTC, p&l:0 BTC
exchange:ftxfuturepp, pre_coin:CRO, post_coin:USD, p&l:-0.0032951940532960355 USD
exchange:huobifuturepp, pre_coin:ETH, post_coin:USD, p&l:-0.0020939013112852845 USD
exchange:okex, pre_coin:DOGE, post_coin:USDT, p&l:0.011779944911028961 USDT
exchange:okex, pre_coin:TRB, post_coin:USDT, p&l:0.007810949052977412 USDT
exchange:husdtpp, pre_coin:RSR, post_coin:USDT, p&l:-0.01690382540312041 USDT
exchange:binance, pre_coin:SAND, post_coin:USDT, p&l:-0.020568496913515588 USDT
exchange:binance, pre_coin:HNT, post_coin:USDT, p&l:-0.0033076063116935783 USDT
exchange:binancefuturepp, pre_coin:SFP, post_coin:USDT, p&l:-0.007411530354914819 USDT
exchange:huobi, pre_coin:UNI, post_coin:BTC, p&l:0 BTC
exchange:okexfuturepp, pre_coin:NEO, post_coin:USD, p&l:0.0033671159514141458 USD
exchange:okex, pre_coin:FORTH, post_coin:USDT, p&l:0.0365169839940358 USDT
exchange:ftxfutureqt, pre_coin:FIL, post_coin:USD, p&l:0.007756191009800295 USD
exchange:huobifuturetw, pre_coin:XRP, post_coin:USD, p&l:0.010932426226168523 USD
exchange:binancefuturepp, pre_coin:ONE, post_coin:USDT, p&l:-0.0017885214671147232 USDT
exchange:okexfuturepp, pre_coin:ATOM, post_coin:USD, p&l:0.021512241062498383 USD
exchange:husdtpp, pre_coin:RVN, post_coin:USDT, p&l:-0.01715012362098589 USDT
exchange:binance, pre_coin:ICP, post_coin:BTC, p&l:-0.004934736417661623 BTC
exchange:binancefuturepp, pre_coin:ZEC, post_coin:USDT, p&l:-0.0006345644213974211 USDT
exchange:okexfutureqt, pre_coin:ETC, post_coin:USD, p&l:-0.02941615128446684 USD
exchange:binance, pre_coin:COTI, post_coin:USDT, p&l:-0.005031276859270295 USDT
exchange:husdtcpp, pre_coin:MATIC, post_coin:USDT, p&l:0.015815624861133415 USDT
exchange:okex, pre_coin:BAL, post_coin:USDT, p&l:-0.00978288732725141 USDT
exchange:ftx, pre_coin:LTC, post_coin:BTC, p&l:0 BTC
exchange:okex, pre_coin:KNC, post_coin:USDT, p&l:-0.025037170034775458 USDT
exchange:binancefuturepp, pre_coin:REN, post_coin:USDT, p&l:-0.014821771077996315 USDT
exchange:ftx, pre_coin:MATIC, post_coin:USD, p&l:0.010408045493399465 USD
exchange:binance, pre_coin:AVAX, post_coin:BUSD, p&l:0.003323506308273272 BUSD
exchange:husdtpp, pre_coin:BLZ, post_coin:USDT, p&l:0.020501843908013573 USDT
exchange:binance, pre_coin:ZIL, post_coin:USDT, p&l:0.005107549637062947 USDT
exchange:ftxfutureqt, pre_coin:AAVE, post_coin:USD, p&l:-0.0032929398146648303 USD
exchange:ftxfuturetw, pre_coin:BTC, post_coin:USD, p&l:0.003372117750706227 USD
exchange:okex, pre_coin:ZRX, post_coin:USDT, p&l:-0.0020073300091669743 USDT
exchange:binance, pre_coin:AAVE, post_coin:BUSD, p&l:-0.023668637714323593 BUSD
exchange:ftxfuturepp, pre_coin:ADA, post_coin:USD, p&l:0.0018188090145510039 USD
exchange:binance, pre_coin:EOS, post_coin:BTC, p&l:0 BTC
exchange:ftxfutureqt, pre_coin:USDT, post_coin:USD, p&l:0 USD
exchange:okex, pre_coin:ADA, post_coin:USDT, p&l:0.00106500350815808 USDT
exchange:ftxfuturetw, pre_coin:EOS, post_coin:USD, p&l:0.0004813391349047791 USD
exchange:ftxfuturetw, pre_coin:PAXG, post_coin:USD, p&l:0 USD
exchange:okexfuturetw, pre_coin:DOT, post_coin:USD, p&l:0.016554533954395545 USD
exchange:binance, pre_coin:BNB, post_coin:BTC, p&l:0 BTC
exchange:huobi, pre_coin:ZEC, post_coin:BTC, p&l:-0.004944375772558796 BTC
exchange:huobi, pre_coin:1INCH, post_coin:BTC, p&l:0.0014043150772373725 BTC
exchange:okex, pre_coin:IOTA, post_coin:USDT, p&l:0.004081160874630729 USDT
